Original_trait,Trait_spell_corrected,Context_needed,Primary_classification,Secondary_classification,Tertiary_classification,Revised_major_class,Revised_fine_class,4th_class,Revision_addressed,Revision_suggested,NOTES,Reviewed
crop mass,crop mass,0,abundance,biomass,,biomass,crop mass,,,,,CB
dry mass per year of above ground biomass,dry mass per year of above ground biomass,0,abundance,biomass,,biomass,dry mass per year of above ground biomass,,,,,CB
mean dry biomass,mean dry biomass,0,abundance,biomass,,biomass,mean dry biomass,,,,,CB
total aboveground biomass,total aboveground biomass,0,abundance,biomass,,biomass,total aboveground biomass,,,,,CB
yeild,yield,0,abundance,biomass,,biomass,yield,,,,,CB
sagittal and laterual diameter of tarsus,sagittal and lateral diameter of tarsus,0,morphology,bone length/shape,foot,foot,foot,,,,,CB
length of hind foot,length of hind foot,0,morphology,bone length/shape,foot length,foot length,foot length,,,,,CB
length of mandibles,length of mandibles,0,morphology,bone length/shape,jaw length,jaw length,jaw length,,,,,CB
length of mandibular tooth row,length of mandibular tooth row,0,morphology,bone length/shape,jaw length,jaw length,jaw length,,,,,CB
length of maxillary tooth row,length of maxillary tooth row,0,morphology,bone length/shape,jaw length,jaw length,jaw length,,,,,CB
lower jaw length,lower jaw length,0,morphology,bone length/shape,jaw traits,jaw traits,jaw traits,,,,,CB
mandible thickness,mandible thickness,0,morphology,bone length/shape,jaw traits,jaw traits,jaw traits,,,,,CB
mandible width,mandible width,0,morphology,bone length/shape,jaw traits,jaw traits,jaw traits,,,,,CB
mandicle incisor process curavture,mandible incisor process curvature,0,morphology,bone length/shape,jaw traits,jaw traits,jaw traits,,,,,NH
length of hind femur,length of hind femur,0,morphology,bone length/shape,leg length,leg length,leg length,,,,,NH
length of the femur,length of the femur,0,morphology,bone length/shape,leg length,leg length,leg length,,,,,NH
length of the femur of front legs,length of the femur of front legs,0,morphology,bone length/shape,leg length,leg length,leg length,,,,,NH
length of the femur of hind legs,length of the femur of hind legs,0,morphology,bone length/shape,leg length,leg length,leg length,,,,,NH
length of the femur of middle legs,length of the femur of middle legs,0,morphology,bone length/shape,leg length,leg length,leg length,,,,,NH
length of tibia in hind leg,length of tibia in hind leg,0,morphology,bone length/shape,leg length,leg length,leg length,,,,,NH
longest toe on the forelimb,longest toe on the forelimb,0,morphology,bone length/shape,toe length,toe length,toe length,,,,,NH
longest toe on the hindlimb,longest toe on the hindlimb,0,morphology,bone length/shape,toe length,toe length,toe length,,,,,NH
condylobasal length,condylobasal length,0,morphology,bone length/shape,,bone length/shape,condylobasal length,,1,NH: secondary --> bone length?,,NH
humerus,humerus,0,morphology,bone length/shape,,bone length/shape,humerus,,1,shape/mobility,secondary,NH
mandible length,mandible length,0,morphology,bone length/shape,,bone length/shape,mandible length,,,,,NH
metacarpus on the forelimb,metacarpus on the forelimb,0,morphology,bone length/shape,,bone length/shape,metacarpus on the forelimb,,,,,NH
metatarsus on the hindlimb,metatarsus on the hindlimb,0,morphology,bone length/shape,,bone length/shape,metatarsus on the hindlimb,,,,,NH
skull height,skull height,0,morphology,bone length/shape,,bone length/shape,skull height,,1,NH: --> bone size,,NH
tarsus,tarsus,0,morphology,bone length/shape,,bone length/shape,tarsus,,,,,NH
tarsus and bill length,tarsus and bill length,0,morphology,bone length/shape,,bone length/shape,tarsus and bill length,,,,,NH
tarsus length,tarsus length,0,morphology,bone length/shape,,bone length/shape,tarsus length,,,,,NH
tibia,tibia,0,morphology,bone length/shape,,bone length/shape,tibia,,,,,NH
tibia fibula/hindlimb ratio,tibia fibula/hindlimb ratio,1,morphology,bone length/shape,,bone length/shape,tibia fibula/hindlimb ratio,,,,,NH
brain size,brain size,0,morphology,brain size,intelligence,intelligence,intelligence,,,,,NH
brain size to body mass ratio,brain size to body mass ratio,0,morphology,brain size,intelligence,intelligence,intelligence,,,,,NH
breadth of braincase,breadth of braincase,0,morphology,brain size,intelligence,intelligence,intelligence,,,,,NH
breeding distribution,breeding distribution,0,habitat,breeding habitat,,breeding habitat,breeding distribution,,,,,CB
breeding habitat,breeding habitat,0,habitat,breeding habitat,,breeding habitat,breeding habitat,,,,,CB
breeding habitat associated with human habitat,breeding habitat associated with human habitat,0,habitat,breeding habitat,,breeding habitat,breeding habitat associated with human habitat,,,,,CB
breeding habitat type,breeding habitat type,0,habitat,breeding habitat,,breeding habitat,breeding habitat type,,,,,CB
ground vegetation,ground vegetation,1,habitat,breeding habitat,,breeding habitat,ground vegetation,,,,,CB
tree cavities,tree cavities,1,habitat,breeding habitat,,breeding habitat,tree cavities,,,,,CB
buds,buds,0,growth,buds,,buds,buds,,,,,CB
winter buds size,winter buds size,0,growth,buds,,buds,winter buds size,,,,,CB
buoyance,buoyance,0,morphology,buoyancy,,buoyancy,buoyance,,1,NH: typo,,NH
buoyancy,buoyancy,0,morphology,buoyancy,,buoyancy,buoyancy,,1,NH: combine typo with this one,,NH
leaf concentrations of Cd,leaf concentrations of Cd,0,composition,cadmium,,cadmium,leaf concentrations of Cd,,,,,CB
Ca%,Ca%,0,composition,calcium,,calcium,Ca%,,,,,CB
concentration Ca in leaves,concentration Ca in leaves,0,composition,calcium,,calcium,concentration Ca in leaves,,,,,CB
root conentrations of Ca,root concentrations of Ca,0,composition,calcium,,calcium,root concentrations of Ca,,,,,CB
canopy arch,canopy arch,0,habitat,canopy,,canopy,canopy arch,,1,"seems to be providing habitat, niche space?",secondary,NH
canopy height,canopy height,0,habitat,canopy,,canopy,canopy height,,1,"seems to be providing habitat, niche space?",secondary,NH
canopy structure,canopy structure,0,habitat,canopy,,canopy,canopy structure,,1,"seems to be providing habitat, niche space?",secondary,NH
carb stoarage in root,carb storage in root,0,composition,carbohydrate,root traits,root traits,root traits,,,,,CB
carb structure in long tap root,carb structure in long tap root,0,composition,carbohydrate,root traits,root traits,root traits,,,,,CB
carb structure in step,carb structure in step,0,composition,carbohydrate,,carbohydrate,carb structure in step,,,,,CB
fine-root C:N mass ratio,fine-root C:N mass ratio,0,composition,carbon,nitrogen,nitrogen,nitrogen,root traits,,,,CB
av leaf C/N ratio,av leaf C/N ratio,0,composition,carbon,nitrogen,nitrogen,nitrogen,,,,,CB
C:N ratio,C:N ratio,0,composition,carbon,nitrogen,nitrogen,nitrogen,,,,,CB
C:N ratio of the leaves,C:N ratio of the leaves,0,composition,carbon,nitrogen,nitrogen,nitrogen,,,,,CB
foliage C:N ratio,foliage C:N ratio,0,composition,carbon,nitrogen,nitrogen,nitrogen,,,,,CB
foliar C:N ratio,foliar C:N ratio,0,composition,carbon,nitrogen,nitrogen,nitrogen,,,,,CB
folirar C: N ration,foliar C: N ration,0,composition,carbon,nitrogen,nitrogen,nitrogen,,,,,CB
leaf C:N,leaf C:N,0,composition,carbon,nitrogen,nitrogen,nitrogen,,,,,CB
leaf C:N mass ratio,leaf C:N mass ratio,0,composition,carbon,nitrogen,nitrogen,nitrogen,,,,,CB
leaf C:N ratio,leaf C:N ratio,0,composition,carbon,nitrogen,nitrogen,nitrogen,,,,,CB
13C isotope ratio,13C isotope ratio,0,composition,carbon,,carbon,13C isotope ratio,,,,,CB
C body concentration,C body concentration,0,composition,carbon,,carbon,C body concentration,,,,,CB
C concentration,C concentration,0,composition,carbon,,carbon,C concentration,,,,,CB
C content,C content,0,composition,carbon,,carbon,C content,,,,,CB
C isotope composition,C isotope composition,0,composition,carbon,,carbon,C isotope composition,,,,,CB
C isotope ratio,C isotope ratio,0,composition,carbon,,carbon,C isotope ratio,,,,,CB
C13,C13,0,composition,carbon,,carbon,C13,,,,,CB
C13 isotopic composition,C13 isotopic composition,0,composition,carbon,,carbon,C13 isotopic composition,,,,,CB
carbon,carbon,0,composition,carbon,,carbon,carbon,,,,,CB
carbon isotope ratio,carbon isotope ratio,0,composition,carbon,,carbon,carbon isotope ratio,,,,,CB
carbon isotope ratios of leaves,carbon isotope ratios of leaves,0,composition,carbon,,carbon,carbon isotope ratios of leaves,,,,,CB
concentration of C,concentration of C,0,composition,carbon,,carbon,concentration of C,,,,,CB
fine-root carbon content,fine-root carbon content,0,composition,carbon,,carbon,fine-root carbon content,root traits,,,,CB
foliar C-13,foliar C-13,0,composition,carbon,,carbon,foliar C-13,,,,,CB
